,danceability,energy,loudness,acousticness,speechiness,instrumentalness,liveness,tempo_norm,log_mentions,sentiment_intensity,engagement_score,has_playlist_genre,genre_country,genre_edm,genre_folk,genre_hiphop,genre_jazz_blues,genre_latin,genre_metal,genre_other,genre_pop,genre_rnb_soul,genre_rock,genre_unknown,sent_negative,sent_neutral,sent_positive
count,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0,23590.0
mean,0.6008042390843576,0.6220204188639255,-8.5748402713014,0.2765761052835948,0.06799664264518865,0.027579453868164478,0.18182088893598983,0.49826188254389336,8.601789473952273,0.059783748334568745,9.841638938034702,0.11933022467147096,0.06269605765154726,0.0072064434082238235,0.007842306061890632,0.08639253921153031,0.014116150911403136,0.009283594743535396,0.010173802458668928,0.25116574819838916,0.18868164476473082,0.07702416278083934,0.14718100890207717,0.13823654090716406,0.10322170411191182,0.28957185247986433,0.6072064434082238
std,0.13875424044639137,0.18131064571155803,3.279294735823044,0.2597890053151433,0.0765770428858602,0.12643920424043317,0.14653279069015043,0.10584012667118332,1.6691653679307101,0.06885742602450075,2.65069834763897,0.3241835548205517,0.24242061220356992,0.08458613290738437,0.08821073713763372,0.2809487753724039,0.11797234916864086,0.09590515895743201,0.10035299252462129,0.4336928503012359,0.391263812786805,0.2666354344093172,0.35429377724184313,0.3451553994677457,0.30425467633382786,0.45357327494569066,0.48838190939461984
min,0.0,0.000581,-28.03,3.29e-06,0.0,0.0,0.00967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.415,0.366,-13.0991,0.012090000000000009,0.029,0.0,0.0688,0.3653378089614911,6.448731040986293,0.006221765185185182,6.235293022482135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.607,0.636,-8.193,0.193,0.0412,4.48e-06,0.131,0.49376164375604237,8.704253334023324,0.03917570319091401,10.174252029218147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90%,0.777,0.86,-4.609,0.722,0.141,0.0108,0.3531000000000022,0.6418934562609697,10.618934240590841,0.140797558888889,12.826869826428736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
max,0.988,0.997,2.291,0.991,0.951,0.982,0.997,1.0,12.374607940352055,0.6195268,18.591632298715428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
